@RELATION user

@ATTRIBUTE ID numeric
@ATTRIBUTE DOB date "yyyy-MM-dd"
@ATTRIBUTE Gender {True, False}
@ATTRIBUTE CreationDate date "yyyy-MM-dd"

@DATA
1,1991-02-21,False,2014-02-16
2,1942-02-20,False,2013-02-23
3,1942-02-20,False,2013-02-23
4,1966-03-01,False,2013-08-01
5,1966-03-01,False,2013-08-01
6,1964-02-13,False,2013-07-18
7,1964-02-13,False,2013-07-18
8,1958-03-18,False,2013-06-09
9,1958-03-18,False,2013-06-09
10,1971-02-06,False,2013-09-03
11,1971-02-06,False,2013-09-03
12,1954-04-28,False,2013-05-14
13,1954-04-28,False,2013-05-14
14,1990-08-05,False,2014-01-10
15,1990-08-05,False,2014-01-10
16,1978-04-16,False,2013-10-20
17,1978-04-16,False,2013-10-20
18,1968-08-12,False,2013-08-17
19,1968-08-12,False,2013-08-17
20,1951-03-22,False,2013-04-24
21,1951-03-22,False,2013-04-24
22,1978-03-24,False,2013-10-20
23,1978-03-24,False,2013-10-20
24,1966-11-09,False,2013-08-05
25,1966-11-09,False,2013-08-05
26,1964-08-08,False,2013-07-22
27,1964-08-08,False,2013-07-22
28,1968-08-20,False,2013-08-17
29,1968-08-20,False,2013-08-17
30,1985-10-17,False,2013-12-09
31,1985-10-17,False,2013-12-09
32,1947-08-04,False,2013-03-31
33,1947-08-04,False,2013-03-31
34,1961-06-21,False,2013-07-01
35,1961-06-21,False,2013-07-01
36,1980-11-06,False,2013-11-06
37,1980-11-06,False,2013-11-06
38,1988-09-06,False,2013-12-28
39,1988-09-06,False,2013-12-28
40,1953-12-05,False,2013-05-12
41,1953-12-05,False,2013-05-12
42,1941-05-21,False,2013-02-18
43,1941-05-21,False,2013-02-18
44,1950-10-18,False,2013-04-21
45,1950-10-18,False,2013-04-21
46,1969-05-10,False,2013-08-22
47,1969-05-10,False,2013-08-22
48,1938-12-25,False,2013-02-02
49,1938-12-25,False,2013-02-02
50,1992-09-04,False,2014-01-24
51,1992-09-04,False,2014-01-24
52,1946-01-10,False,2013-03-20
53,1946-01-10,False,2013-03-20
54,1977-03-18,False,2013-10-13
55,1977-03-18,False,2013-10-13
56,1974-03-26,False,2013-09-23
57,1974-03-26,False,2013-09-23
58,1962-11-10,False,2013-07-10
59,1962-11-10,False,2013-07-10
60,1972-04-19,False,2013-09-11
61,1972-04-19,False,2013-09-11
62,1989-08-29,False,2014-01-04
63,1989-08-29,False,2014-01-04
64,1986-01-03,False,2013-12-10
65,1986-01-03,False,2013-12-10
66,1988-11-03,False,2013-12-29
67,1988-11-03,False,2013-12-29
68,1954-02-01,False,2013-05-13
69,1954-02-01,False,2013-05-13
70,1969-05-27,False,2013-08-22
71,1969-05-27,False,2013-08-22
72,1936-06-16,False,2013-01-16
73,1936-06-16,False,2013-01-16
74,1975-05-01,False,2013-10-01
75,1975-05-01,False,2013-10-01
76,1956-08-05,False,2013-05-29
77,1956-08-05,False,2013-05-29
78,1937-10-08,False,2013-01-25
79,1937-10-08,False,2013-01-25
80,1944-10-01,False,2013-03-12
81,1944-10-01,False,2013-03-12
82,1978-01-16,False,2013-10-19
83,1978-01-16,False,2013-10-19
84,1939-03-23,False,2013-02-03
85,1939-03-23,False,2013-02-03
86,1993-04-08,False,2014-01-28
87,1993-04-08,False,2014-01-28
