@RELATION user

@ATTRIBUTE AgeBracket {1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE Protein numeric
@ATTRIBUTE Totallipid numeric
@ATTRIBUTE Carbohydrate numeric
@ATTRIBUTE Ash numeric
@ATTRIBUTE Calories numeric
@ATTRIBUTE Starch numeric
@ATTRIBUTE Sucrose numeric
@ATTRIBUTE Glucose numeric
@ATTRIBUTE Fructose numeric
@ATTRIBUTE Lactose numeric
@ATTRIBUTE Maltose numeric
@ATTRIBUTE Alcoholethyl numeric
@ATTRIBUTE Water numeric
@ATTRIBUTE AdjustedProtein numeric
@ATTRIBUTE Caffeine numeric
@ATTRIBUTE Theobromine numeric
@ATTRIBUTE Energy numeric
@ATTRIBUTE Sugarstotal numeric
@ATTRIBUTE Galactose numeric
@ATTRIBUTE Fibre numeric

@DATA
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,12,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,22,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,9,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,114,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
6,67,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,109,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
3,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8,49,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
4,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,13,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,55,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2,39,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,220,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,74,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6,71,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,79,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,83,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7,15,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
5,24,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,130,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,37,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
4,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,94,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,30,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,103,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
3,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,102,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3,89,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
6,62,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
4,57,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4,25,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,18,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,51,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6,106,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
3,102,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,58,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,36,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,125,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
3,69,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,55,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,101,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
