@relation user

@attribute ID real
@attribute DOB date
@attribute Gender {true, false}
@attribute CreationDate Date

@data
1,1991-02-21,False,16/02/2014 17:17:59
2,1942-02-20,False,23/02/2013 00:00:00
3,1942-02-20,False,23/02/2013 00:00:00
4,1966-03-01,False,01/08/2013 00:00:00
5,1966-03-01,False,01/08/2013 00:00:00
6,1964-02-13,False,18/07/2013 00:00:00
7,1964-02-13,False,18/07/2013 00:00:00
8,1958-03-18,False,09/06/2013 00:00:00
9,1958-03-18,False,09/06/2013 00:00:00
10,1971-02-06,False,03/09/2013 00:00:00
11,1971-02-06,False,03/09/2013 00:00:00
12,1954-04-28,False,14/05/2013 00:00:00
13,1954-04-28,False,14/05/2013 00:00:00
14,1990-08-05,False,10/01/2014 00:00:00
15,1990-08-05,False,10/01/2014 00:00:00
16,1978-04-16,False,20/10/2013 00:00:00
17,1978-04-16,False,20/10/2013 00:00:00
18,1968-08-12,False,17/08/2013 00:00:00
19,1968-08-12,False,17/08/2013 00:00:00
20,1951-03-22,False,24/04/2013 00:00:00
21,1951-03-22,False,24/04/2013 00:00:00
22,1978-03-24,False,20/10/2013 00:00:00
23,1978-03-24,False,20/10/2013 00:00:00
24,1966-11-09,False,05/08/2013 00:00:00
25,1966-11-09,False,05/08/2013 00:00:00
26,1964-08-08,False,22/07/2013 00:00:00
27,1964-08-08,False,22/07/2013 00:00:00
28,1968-08-20,False,17/08/2013 00:00:00
29,1968-08-20,False,17/08/2013 00:00:00
30,1985-10-17,False,09/12/2013 00:00:00
31,1985-10-17,False,09/12/2013 00:00:00
32,1947-08-04,False,31/03/2013 00:00:00
33,1947-08-04,False,31/03/2013 00:00:00
34,1961-06-21,False,01/07/2013 00:00:00
35,1961-06-21,False,01/07/2013 00:00:00
36,1980-11-06,False,06/11/2013 00:00:00
37,1980-11-06,False,06/11/2013 00:00:00
38,1988-09-06,False,28/12/2013 00:00:00
39,1988-09-06,False,28/12/2013 00:00:00
40,1953-12-05,False,12/05/2013 00:00:00
41,1953-12-05,False,12/05/2013 00:00:00
42,1941-05-21,False,18/02/2013 00:00:00
43,1941-05-21,False,18/02/2013 00:00:00
44,1950-10-18,False,21/04/2013 00:00:00
45,1950-10-18,False,21/04/2013 00:00:00
46,1969-05-10,False,22/08/2013 00:00:00
47,1969-05-10,False,22/08/2013 00:00:00
48,1938-12-25,False,02/02/2013 00:00:00
49,1938-12-25,False,02/02/2013 00:00:00
50,1992-09-04,False,24/01/2014 00:00:00
51,1992-09-04,False,24/01/2014 00:00:00
52,1946-01-10,False,20/03/2013 00:00:00
53,1946-01-10,False,20/03/2013 00:00:00
54,1977-03-18,False,13/10/2013 00:00:00
55,1977-03-18,False,13/10/2013 00:00:00
56,1974-03-26,False,23/09/2013 00:00:00
57,1974-03-26,False,23/09/2013 00:00:00
58,1962-11-10,False,10/07/2013 00:00:00
59,1962-11-10,False,10/07/2013 00:00:00
60,1972-04-19,False,11/09/2013 00:00:00
61,1972-04-19,False,11/09/2013 00:00:00
62,1989-08-29,False,04/01/2014 00:00:00
63,1989-08-29,False,04/01/2014 00:00:00
64,1986-01-03,False,10/12/2013 00:00:00
65,1986-01-03,False,10/12/2013 00:00:00
66,1988-11-03,False,29/12/2013 00:00:00
67,1988-11-03,False,29/12/2013 00:00:00
68,1954-02-01,False,13/05/2013 00:00:00
69,1954-02-01,False,13/05/2013 00:00:00
70,1969-05-27,False,22/08/2013 00:00:00
71,1969-05-27,False,22/08/2013 00:00:00
72,1936-06-16,False,16/01/2013 00:00:00
73,1936-06-16,False,16/01/2013 00:00:00
74,1975-05-01,False,01/10/2013 00:00:00
75,1975-05-01,False,01/10/2013 00:00:00
76,1956-08-05,False,29/05/2013 00:00:00
77,1956-08-05,False,29/05/2013 00:00:00
78,1937-10-08,False,25/01/2013 00:00:00
79,1937-10-08,False,25/01/2013 00:00:00
80,1944-10-01,False,12/03/2013 00:00:00
81,1944-10-01,False,12/03/2013 00:00:00
82,1978-01-16,False,19/10/2013 00:00:00
83,1978-01-16,False,19/10/2013 00:00:00
84,1939-03-23,False,03/02/2013 00:00:00
85,1939-03-23,False,03/02/2013 00:00:00
86,1993-04-08,False,28/01/2014 00:00:00
87,1993-04-08,False,28/01/2014 00:00:00
88,1962-03-02,False,05/07/2013 00:00:00
89,1962-03-02,False,05/07/2013 00:00:00
